Latitude,Longitude,Station,depth,Fe,Zn,Cd,Ni,Cu,Mn,PO4,NO2+NO3,Si,NO2,NH4,pMn,pFe,pNi,pCu,pZn,pCd
37.002833,-70.00289,6,200,0.578437705,0.304794599,0.009599467,1.918529867,1.038640214,1.428750414,0.13,0.6,0,0.09,0.1,,,,,,
37.002833,-70.00289,6,400,0.363690753,0.124537592,0.017634073,2.044583285,0.83657462,0.491014338,0.27,3,1,0.01,0.04,,,,,,
37.002833,-70.00289,6,600,0.34309433,0.300835254,0.095555002,2.636078224,0.920699557,0.19169131,0.71,9.5,2.8,0.01,0.15,,,,,,
37.002833,-70.00289,6,800,0.536751759,0.602056551,0.244092498,3.455742413,1.033631905,0.205904585,1.32,17.2,7.8,0.01,0.2,,,,,,
37.002833,-70.00289,6,1200,1.115986949,11.46280467,0.265074605,3.789359035,0.8711571,0.476435747,1.46,19.4,12.3,0.02,0,,,,,,
37.413163,-70.320077,7,10,0.88,0.5,0.01,2.1,1.29,0.022873111,0.2,0.2,1.2,0.1,0.12,12.34053523,78.08709059,2.447971601,15.37988275,29.14364877,0.080514384
37.413163,-70.320077,7,20,0.92,0.64,0.01,2.01,1.18,4.044085012,0.2,0.1,1,0.08,0.14,12.93047232,118.7804572,2.399780871,9.825992457,85.7391962,0.094050946
37.413163,-70.320077,7,40,1,0.42,0.01,1.99,1,4.208652776,0.19,0.1,0.8,0.05,0.06,8.569295144,54.88802816,1.660693302,6.716675558,21.42457816,0.08831111
37.413163,-70.320077,7,70,0.65,2.33,0.01,1.99,0.62,4.007488374,0.18,0,0.5,0.04,0.05,6.628100801,49.63594684,1.765477906,40.93986005,7.400065628,0.113337712
37.413163,-70.320077,7,100,1.13,1.92,0.01,1.93,0.84,2.889006417,0.18,0,0.5,0.04,0.07,8.17457302,31.45032779,2.541427081,41.08658962,25.47878649,0.128728535
37.413163,-70.320077,7,120,0.53,1.73,0.02,1.9,0.8,2.561503716,0.18,0.2,0.5,0.16,0.07,6.564136298,17.65049447,2.414169436,24.53619658,11.88072398,0.106625792
37.413163,-70.320077,7,150,0.41,2.46,0.01,2.01,0.81,2.256434729,0.21,1.1,0.5,0.09,0.07,6.163046654,29.25374067,2.193103413,30.64170772,29.28096779,0.056017559
37.413163,-70.320077,7,200,0.49,0.83,0.02,2,0.9,1.396750049,0.27,2.7,0.8,0.04,0.05,11.20983577,25.25186331,1.163463111,3.593838785,15.37623203,0.049193295
37.413163,-70.320077,7,400,0.43,1.04,0.04,2.22,0.95,0.597576719,0.45,5.9,1.7,0.05,0.07,6.761728516,18.46829774,0.707662774,3.78150266,3.234481158,0.023531089
37.413163,-70.320077,7,600,0.552826099,0.901735435,0.150913011,2.927058086,1.291240169,0.304839525,1.04,14.7,5.2,0.04,0.05,7.516928667,29.60521176,1.103591446,3.126423237,22.40299689,0.029574707
37.413163,-70.320077,7,700,0.745154,1.036414969,0.24359702,3.442848119,1.066552318,0.32312361,1.4,20,8.7,0.04,0.07,4.916686513,22.39666164,0.7400383,2.699514213,19.13897302,0.056581153
37.413163,-70.320077,7,800,0.825296018,6.773017017,0.359328038,4.074678432,0.928572386,0.540483531,1.84,26.2,15.1,0.03,0.1,19.48262719,175.7179253,1.816235184,47.09182883,14.06402963,0.090494143
38.528372,-70.84278,8,10,0.646704332,0.440240829,0.028379899,2.920330963,1.843091251,,,,,,,64.60379608,250.6115903,7.676037983,27.24065222,75.67414284,1.112395266
38.528372,-70.84278,8,20,1.452439767,0.377103866,0.040447708,2.678274788,1.519803763,2.070659351,0.24,0.6,0.8,0.05,0.13,36.58951381,162.4187013,8.892909344,16.98468442,-8.718977686,1.327515902
38.528372,-70.84278,8,40,0.883890987,-0.289648395,0.04873665,2.475842866,1.095895918,2.196366123,0.23,0.4,0.1,0.04,0.13,62.11419188,215.1925382,13.19418645,23.72826548,-10.97722859,3.185750865
38.528372,-70.84278,8,80,0.770555611,1.230085185,0.141622464,2.911876455,1.137591154,0.298144521,,,,,,64.86214254,186.5179584,2.878674738,42.80003486,-28.75587232,0.586393303
38.528372,-70.84278,8,100,1.021352725,-0.13063635,0.169496528,2.738169184,1.102763449,0.190674009,,,,,,109.2548756,203.8795842,3.510562833,62.41181611,-21.15206605,0.553533754
38.528372,-70.84278,8,120,0.414806198,0.082687323,0.162974947,2.84417509,1.043086882,0.186608151,0.89,10.3,4.0,0.10,0.03,56.97631377,107.3392832,2.431204506,58.90291724,-43.86897983,0.415077066
38.528372,-70.84278,8,175,0.795152187,1.471645491,0.228398163,3.264479142,1.010227427,0.477703177,1.33,18.7,8.3,0.07,0.14,35.11174438,166.7192622,1.886801671,51.98037889,3.21501666,0.276757344
38.528372,-70.84278,8,260,0.969209324,0.730750115,0.39426327,3.825130019,1.020426977,0.264046166,1.68,23.9,12.4,0.07,0.05,39.98882805,394.9456239,1.44681421,8.01875279,-20.64304272,0.139361916
38.528372,-70.84278,8,400,2.098135116,1.254774585,0.330313606,3.940683927,1.055253564,0.559924623,1.73,23.7,14.3,0.02,0.02,52.00279548,567.9159681,1.642463309,11.26752716,-22.10956076,0.175233302
38.528372,-70.84278,8,600,1.298854259,1.917550056,0.301851448,3.683299286,1.213030519,0.579331046,1.54,20.3,12.7,0.01,0.07,19.0328253,227.1563892,0.507820779,3.817612803,-39.37379057,0.079343837
38.528372,-70.84278,8,800,3.96,2.273523479,0.269431183,3.923891249,1.519775077,,1.46,18.9,11.5,0.01,0.04,18.14292779,170.9590383,0.865097265,5.663265373,44.7770596,0.092545813
38.528372,-70.84278,8,1000,0.786893415,1.042492486,0.381832203,4.073840556,1.158953208,0.085014674,,,,,,8.848607596,94.16819714,0.110250068,45.86907856,-50.69477844,0.076883708
39.31658,-71.123208,9,10,0.632927216,0.567922407,0.025703377,2.693538109,1.772909682,5.848379279,0.2,0.2,0,0.05,0.02,83.83620671,319.8529126,9.172337534,22.73053285,121.7413175,0.735793661
39.31658,-71.123208,9,20,0.329892304,-3.504374681,0.090142889,2.509751289,1.531564567,0.611809171,0.19,0.2,0.2,0.03,0.1,,,,,,
39.31658,-71.123208,9,50,0.55993084,-0.548297872,0.043217458,2.702084005,1.429820587,2.071299454,0.32,0.5,0.9,0.06,0.47,,,,,,
39.31658,-71.123208,9,90,0.357781833,0.100454463,0.100392447,2.691232006,1.261559272,0.850559309,0.65,7.3,1.9,0.05,0.07,,,,,,
39.31658,-71.123208,9,120,0.27966646,-1.093380287,0.15407172,2.920854392,1.328857165,0.226730035,0.43,4.3,1,0.04,0.11,,,,,,
39.31658,-71.123208,9,150,0.360541589,0.29112581,0.119095087,2.78058124,1.278275275,0.588279304,0.38,3,0.5,0.02,0.39,,,,,,
39.31658,-71.123208,9,200,0.375483941,0.631800293,0.126370135,2.78416024,1.087808716,0.640922593,0.85,10.7,3.5,0.04,0,,,,,,
39.31658,-71.123208,9,400,0.744306417,1.189901143,0.254042336,3.518440258,1.034714577,0.606925206,1.4,19.8,8.2,0.03,0.02,15.5924739,141.7264507,3.315210508,13.92009032,82.2636238,0.222104078
39.31658,-71.123208,9,600,0.843814163,0.876336294,0.353988621,4.151616542,1.062798828,0.27092242,1.57,21.5,11.6,0.03,0.05,28.15837769,359.3125652,3.624242374,17.00743489,100.375784,0.115262574
39.31658,-71.123208,9,800,1.134640771,2.398271978,0.306797794,3.859903982,1.273044148,0.252107222,1.49,19.9,11.4,0.02,0.08,23.47422467,281.6825075,2.111095064,9.277790085,46.82012439,0.086039027
39.31658,-71.123208,9,1000,1.547895423,2.522355371,0.277690888,3.978937708,1.387291787,0.892829158,,,,,,24.73525177,481.4423942,11.05560851,10.21436927,67.24507963,0.085688831
39.31658,-71.123208,9,1100,1.017778323,2.737318112,0.281989655,3.657806162,1.077978514,0.12187532,1.41,18.5,10.7,0.03,0.03,30.60379999,469.619033,2.522977689,33.83775713,47.50402314,0.059562219
