BRITE,KO,,,
ko03036 Chromosome and associated proteins,ko:K11584,,,
ko03036 Chromosome and associated proteins,ko:K10779,,,
ko03036 Chromosome and associated proteins,ko:K11593,,,
ko03036 Chromosome and associated proteins,ko:K11594,,,
ko03036 Chromosome and associated proteins,ko:K10840,,,
ko03036 Chromosome and associated proteins,ko:K10798,,,
ko03036 Chromosome and associated proteins,ko:K11481,,,
ko03036 Chromosome and associated proteins,ko:K11649,,,
ko03036 Chromosome and associated proteins,ko:K10841,,,
ko03036 Chromosome and associated proteins,ko:K11699,,,
ko03036 Chromosome and associated proteins,ko:K11650,,,
ko03036 Chromosome and associated proteins,ko:K11654,,,
ko03036 Chromosome and associated proteins,ko:K11756,,,
ko03036 Chromosome and associated proteins,ko:K11786,,,
ko03036 Chromosome and associated proteins,ko:K11721,,,
ko03036 Chromosome and associated proteins,ko:K11722,,,
ko03036 Chromosome and associated proteins,ko:K11724,,,
ko03036 Chromosome and associated proteins,ko:K12830,,,
ko03036 Chromosome and associated proteins,ko:K12614,,,
ko03036 Chromosome and associated proteins,ko:K12869,,,
ko03036 Chromosome and associated proteins,ko:K12828,,,
ko03036 Chromosome and associated proteins,ko:K13982,,,
ko03036 Chromosome and associated proteins,ko:K13858,,,
ko03036 Chromosome and associated proteins,ko:K14290,,,
ko03036 Chromosome and associated proteins,ko:K14293,,,
ko03036 Chromosome and associated proteins,ko:K14297,,,
ko03036 Chromosome and associated proteins,ko:K14300,,,
ko03036 Chromosome and associated proteins,ko:K14298,,,
ko03036 Chromosome and associated proteins,ko:K14437,,,
ko03036 Chromosome and associated proteins,ko:K14440,,,
ko03036 Chromosome and associated proteins,ko:K14962,,,
ko03036 Chromosome and associated proteins,ko:K14972,,,
ko03036 Chromosome and associated proteins,ko:K15333,,,
ko03036 Chromosome and associated proteins,ko:K15043,,,
ko03036 Chromosome and associated proteins,ko:K15042,,,
ko03036 Chromosome and associated proteins,ko:K16454,,,
ko03036 Chromosome and associated proteins,ko:K16457,,,
ko03036 Chromosome and associated proteins,ko:K16458,,,
ko03036 Chromosome and associated proteins,ko:K16462,,,
ko03036 Chromosome and associated proteins,ko:K16465,,,
ko03036 Chromosome and associated proteins,ko:K16466,,,
ko03036 Chromosome and associated proteins,ko:K16474,,,
ko03036 Chromosome and associated proteins,ko:K16478,,,
ko03036 Chromosome and associated proteins,ko:K16531,,,
ko03036 Chromosome and associated proteins,ko:K16575,,,
ko03036 Chromosome and associated proteins,ko:K16578,,,
ko03036 Chromosome and associated proteins,ko:K16582,,,
ko03036 Chromosome and associated proteins,ko:K16732,,,
ko03036 Chromosome and associated proteins,ko:K16749,,,
ko03036 Chromosome and associated proteins,ko:K16742,,,
ko03036 Chromosome and associated proteins,ko:K16743,,,
ko03036 Chromosome and associated proteins,ko:K16777,,,
ko03036 Chromosome and associated proteins,ko:K16780,,,
ko03036 Chromosome and associated proteins,ko:K16794,,,
ko03036 Chromosome and associated proteins,ko:K16911,,,
ko03036 Chromosome and associated proteins,ko:K18402,,,
ko03036 Chromosome and associated proteins,ko:K18477,,,
ko03036 Chromosome and associated proteins,ko:K18408,,,
ko03036 Chromosome and associated proteins,ko:K18416,,,
ko03036 Chromosome and associated proteins,ko:K18418,,,
ko03036 Chromosome and associated proteins,ko:K17697,,,
ko03036 Chromosome and associated proteins,ko:K19737,,,
ko03036 Chromosome and associated proteins,ko:K19413,,,
ko03036 Chromosome and associated proteins,ko:K19219,,,
ko03036 Chromosome and associated proteins,ko:K19382,,,
ko03036 Chromosome and associated proteins,ko:K19401,,,
ko03036 Chromosome and associated proteins,ko:K19671,,,
ko03036 Chromosome and associated proteins,ko:K19672,,,
ko03036 Chromosome and associated proteins,ko:K19673,,,
ko03036 Chromosome and associated proteins,ko:K19656,,,
ko03036 Chromosome and associated proteins,ko:K19674,,,
ko03036 Chromosome and associated proteins,ko:K19676,,,
ko03036 Chromosome and associated proteins,ko:K19677,,,
ko03036 Chromosome and associated proteins,ko:K19678,,,
ko03036 Chromosome and associated proteins,ko:K19679,,,
ko03036 Chromosome and associated proteins,ko:K19680,,,
ko03036 Chromosome and associated proteins,ko:K19681,,,
ko03036 Chromosome and associated proteins,ko:K19369,,,
ko03036 Chromosome and associated proteins,ko:K19636,,,
ko03036 Chromosome and associated proteins,ko:K19685,,,
ko03036 Chromosome and associated proteins,ko:K19683,,,
ko03036 Chromosome and associated proteins,ko:K19684,,,
ko03036 Chromosome and associated proteins,ko:K20791,,,
ko03036 Chromosome and associated proteins,ko:K20792,,,
ko03036 Chromosome and associated proteins,ko:K20093,,,
ko03036 Chromosome and associated proteins,ko:K19788,,,
